speciesCode,cat,taxonOrder,aba
goosan1,issf,682,
commer1,issf,685,
andduc2,issf,699,
rudduc2,issf,700,
ruvcha2,issf,777,
ruvcha3,issf,778,
specha6,issf,788,
specha5,issf,791,
spigua3,issf,819,
spigua2,issf,820,
butpig1,issf,841,
butpig2,issf,842,
retpig2,issf,844,
retpig1,issf,845,
bafcur2,issf,878,
bafcur3,issf,879,
helgui2,issf,886,
helgui4,issf,887,
helgui3,issf,888,
helgui5,issf,891,
helgui6,issf,892,
cregui3,issf,905,
cregui2,issf,906,
cregui4,issf,909,
stopar2,issf,913,
stopar3,issf,914,
norbob1,issf,934,
norbob2,issf,944,
norbob3,issf,947,
masbob1,issf,952,
crebob2,issf,965,
crebob3,issf,972,
monqua1,issf,1021,
monqua2,issf,1025,
udzpar3,issf,1085,
udzpar2,issf,1086,
chhpar3,issf,1114,
chhpar2,issf,1115,
greprc1,issf,1242,
heahen1,issf,1243,
attprc1,issf,1244,
wilpta1,issf,1256,
wilpta2,issf,1257,
sprgro1,issf,1310,
frsgro1,issf,1316,
rinphe1,issf,1376,
rinphe2,issf,1408,
crefir5,issf,1454,
crefir6,issf,1455,
salphe3,issf,1458,
salphe2,issf,1459,
crefir3,issf,1461,
crefir4,issf,1462,
scbpar2,issf,1479,
scbpar3,issf,1480,
chnpar2,issf,1488,
chnpar3,issf,1491,
crefra1,issf,1535,
crefra3,issf,1536,
blkfra1,issf,1550,
blkfra2,issf,1553,
coqfra1,issf,1563,
coqfra3,issf,1567,
whtfra1,issf,1569,
whtfra3,issf,1572,
moofra1,issf,1580,
moofra3,issf,1581,
orrfra1,issf,1584,
orrfra3,issf,1587,
orrfra4,issf,1588,
shefra1,issf,1590,
shefra3,issf,1591,
rocpar3,issf,1675,
rocpar4,issf,1679,
renfra2,issf,1733,
renfra3,issf,1736,
renfra4,issf,1740,
renfra5,issf,1741,
litgre3,issf,1759,
litgre4,issf,1766,
silgre3,issf,1813,
silgre2,issf,1814,
comwop1,issf,1860,
comwop2,issf,1866,
lemdov1,issf,1881,
lemdov3,issf,1882,
fordov1,issf,1883,
lemdov4,issf,1884,
metpig2,issf,1902,
metpig3,issf,1910,
spwpig2,issf,1927,
spwpig4,issf,1928,
batpig2,issf,1940,
batpig4,issf,1944,
batpig3,issf,1945,
rudpig2,issf,1961,
rudpig3,issf,1964,
eurcod1,issf,1998,
eurcod2,issf,1999,
spodov1,issf,2035,
spodov2,issf,2036,
sulcud3,issf,2068,
sulcud4,issf,2073,
brogrd1,issf,2153,
brogrd2,issf,2154,
spipig4,issf,2179,
spipig5,issf,2180,
rudqud1,issf,2272,
rudqud2,issf,2273,
whtdov1,issf,2283,
whtdov2,issf,2293,
whtdov3,issf,2294,
gycdov3,issf,2305,
gycdov2,issf,2306,
gycdov1,issf,2307,
gyhdov2,issf,2311,
gyhdov3,issf,2314,
linqud1,issf,2338,
linqud2,issf,2339,
phepig2,issf,2410,
phepig3,issf,2411,
phepig4,issf,2412,
phepig5,issf,2413,
whebrd1,issf,2423,
whebrd2,issf,2424,
whebrd3,issf,2425,
amebrd1,issf,2429,
amebrd2,issf,2432,
amebrd3,issf,2433,
thbpig3,issf,2460,
thbpig2,issf,2461,
afrgrp2,issf,2492,
afrgrp3,issf,2506,
whigrp1,issf,2519,
whigrp2,issf,2522,
reefrd1,issf,2544,
reefrd2,issf,2547,
ornfrd1,issf,2573,
ornfrd2,issf,2574,
supfrd1,issf,2579,
supfrd2,issf,2580,
crcfrd1,issf,2587,
crcfrd2,issf,2588,
gygfrd2,issf,2604,
gygfrd3,issf,2605,
whbfrd2,issf,2628,
whbfrd3,issf,2629,
whbfrd7,issf,2630,
yebfrd1,issf,2635,
yebfrd2,issf,2636,
grnimp1,issf,2696,
grnimp5,issf,2706,
grnimp3,issf,2707,
grnimp4,issf,2708,
rekimp1,issf,2717,
rekimp2,issf,2718,
spiimp1,issf,2730,
spiimp2,issf,2731,
cibimp1,issf,2736,
cibimp2,issf,2737,
rufimp2,issf,2740,
rufimp3,issf,2741,
pinimp1,issf,2758,
pinimp2,issf,2761,
mouimp1,issf,2768,
mouimp2,issf,2769,
dabimp1,issf,2774,
dabimp2,issf,2775,
dabimp3,issf,2776,
noipig1,issf,2789,
nezpig1,issf,2790,
pitsan2,issf,2806,
pitsan3,issf,2807,
chbsan1,issf,2810,
chbsan2,issf,2815,
chbsan3,issf,2816,
licsan2,issf,2836,
licsan3,issf,2841,
houbus2,issf,2864,
houbus3,issf,2865,
denbus1,issf,2869,
denbus2,issf,2870,
denbus3,issf,2871,
whbbus1,issf,2875,
whbbus3,issf,2879,
guitur2,issf,2910,
guitur3,issf,2911,
knytur2,issf,2920,
knytur3,issf,2921,
bkbtur1,issf,2923,
bkbtur2,issf,2924,
fistur2,issf,2927,
fistur3,issf,2928,
yebtur2,issf,2930,
yebtur3,issf,2931,
whctur3,issf,2936,
whctur4,issf,2937,
ruwtur1,issf,2945,
ruwtur3,issf,2946,
ruwtur4,issf,2947,
bafgab1,issf,2951,
bafgab2,issf,2952,
crecou2,issf,2995,
crecou7,issf,2998,
reccou2,issf,3004,
reccou3,issf,3005,
whbcou2,issf,3047,
whbcou3,issf,3050,
grecou2,issf,3056,
grecou3,issf,3062,
kaicou1,issf,3086,
phecou1,issf,3087,
chbmal3,issf,3106,
chbmal4,issf,3107,
squcuc2,issf,3151,
squcuc3,issf,3152,
squcuc5,issf,3153,
squcuc4,issf,3154,
grelic2,issf,3182,
grelic3,issf,3183,
thbcuc2,issf,3193,
thbcuc3,issf,3196,
packoe1,issf,3210,
packoe2,issf,3217,
afecuc2,issf,3235,
afecuc3,issf,3236,
afecuc4,issf,3237,
shibrc1,issf,3245,
shibrc2,issf,3246,
shibrc3,issf,3247,
shibrc4,issf,3248,
litbrc1,issf,3251,
litbrc2,issf,3257,
litbrc3,issf,3263,
litbrc5,issf,3266,
brucuc2,issf,3299,
brucuc3,issf,3303,
bltcuc2,issf,3316,
bltcuc3,issf,3317,
blkcuc1,issf,3346,
blkcuc2,issf,3347,
marfro2,issf,3376,
marfro3,issf,3381,
blyfro1,issf,3397,
blyfro2,issf,3398,
shtnig2,issf,3456,
shtnig3,issf,3461,
batnig3,issf,3464,
batnig4,issf,3469,
bawnig5,issf,3477,
bawnig6,issf,3478,
bawnig7,issf,3479,
bawnig8,issf,3480,
bawnig9,issf,3483,
bawnig4,issf,3484,
rufnig2,issf,3545,
rufnig4,issf,3549,
rufnig3,issf,3550,
granig2,issf,3552,
granig3,issf,3555,
nubnig2,issf,3605,
nubnig3,issf,3608,
nubnig4,issf,3609,
norpot2,issf,3699,
norpot3,issf,3703,
barown3,issf,3729,
barown5,issf,3732,
barown4,issf,3733,
blkswi1,issf,3736,
blkswi2,issf,3737,
blkswi3,issf,3738,
vauswi1,issf,3790,
vauswi2,issf,3791,
vauswi3,issf,3792,
vauswi4,issf,3796,
shtswi2,issf,3804,
shtswi3,issf,3808,
gyrswi3,issf,3810,
gyrswi4,issf,3811,
gyrswi1,issf,3812,
gyrswi2,issf,3817,
barswi1,issf,3819,
barswi2,issf,3820,
barswi3,issf,3823,
himswi1,issf,3919,
indswi2,issf,3922,
afrswi2,issf,4016,
afrswi3,issf,4017,
litswi2,issf,4044,
litswi3,issf,4049,
litswi4,issf,4050,
horswi2,issf,4058,
horswi3,issf,4059,
afrpas2,issf,4091,
afrpas3,issf,4092,
stbher2,issf,4173,
stbher3,issf,4174,
lobher1,issf,4176,
lobher3,issf,4180,
lobher4,issf,4182,
lobher2,issf,4183,
grbher6,issf,4189,
grbher5,issf,4192,
grbher4,issf,4196,
gycher2,issf,4218,
